disp_avg,t_cent,daily_average
8.153841402392185e-10,2020-04-24 03:30:00+00:00,9.756566158356464e-10
7.510018319047205e-10,2020-04-24 04:30:00+00:00,9.739756228090145e-10
6.568655117742337e-10,2020-04-24 05:30:00+00:00,9.728285980171488e-10
5.798562814725152e-10,2020-04-24 06:30:00+00:00,9.727114323013436e-10
6.000350344141682e-10,2020-04-24 07:30:00+00:00,9.724466899482795e-10
6.122269067750707e-10,2020-04-24 08:30:00+00:00,9.704902663223653e-10
8.005873830083724e-10,2020-04-24 09:30:00+00:00,9.686946330117057e-10
1.0406389979536322e-09,2020-04-24 10:30:00+00:00,9.671725558548639e-10
1.1683861400664297e-09,2020-04-24 11:30:00+00:00,9.663573503304756e-10
1.1963932879194714e-09,2020-04-24 12:30:00+00:00,9.651546936853427e-10
1.181128144196043e-09,2020-04-24 13:30:00+00:00,9.647726396872152e-10
1.1266938826210451e-09,2020-04-24 14:30:00+00:00,9.645995742975725e-10
1.0975705370160352e-09,2020-04-24 15:30:00+00:00,9.633206550076595e-10
1.1042095698584564e-09,2020-04-24 16:30:00+00:00,9.626377850054475e-10
1.1225212461961032e-09,2020-04-24 17:30:00+00:00,9.618046578721887e-10
1.0982876742933328e-09,2020-04-24 18:30:00+00:00,9.597450031787376e-10
1.10148723529359e-09,2020-04-24 19:30:00+00:00,9.590746513698141e-10
1.0789739079611345e-09,2020-04-24 20:30:00+00:00,9.587423974067552e-10
1.0952967133815443e-09,2020-04-24 21:30:00+00:00,9.58397943658024e-10
1.0293635589794345e-09,2020-04-24 22:30:00+00:00,9.56230584903652e-10
9.915036975320509e-10,2020-04-24 23:30:00+00:00,9.564946628189618e-10
9.076867550478942e-10,2020-04-25 00:30:00+00:00,9.555072853711458e-10
8.999572205507199e-10,2020-04-25 01:30:00+00:00,9.55378457440539e-10
8.834867211089586e-10,2020-04-25 02:30:00+00:00,9.55814265815174e-10
8.465128198077981e-10,2020-04-25 03:30:00+00:00,9.571112941305315e-10
