disp_avg,t_cent
1.3411338643367799e-09,2020-03-24 22:30:00
1.0532797053071724e-09,2020-03-25 01:30:00
8.257858498148447e-10,2020-03-25 04:30:00
7.062378252936222e-10,2020-03-25 07:30:00
1.36946884258394e-09,2020-03-25 10:30:00
1.6289469886505788e-09,2020-03-25 13:30:00
1.4317088247843152e-09,2020-03-25 16:30:00
1.3815304742954417e-09,2020-03-25 19:30:00
1.3208354307945102e-09,2020-03-25 22:30:00
1.0438447542235055e-09,2020-03-26 01:30:00
8.184762263861612e-10,2020-03-26 04:30:00
6.952618732672348e-10,2020-03-26 07:30:00
1.3484504620109838e-09,2020-03-26 10:30:00
1.6309153475505943e-09,2020-03-26 13:30:00
1.49169109080301e-09,2020-03-26 16:30:00
1.3939715356736032e-09,2020-03-26 19:30:00
1.3434174420756897e-09,2020-03-26 22:30:00
1.0476706706429508e-09,2020-03-27 01:30:00
8.399977361255326e-10,2020-03-27 04:30:00
7.249070585600356e-10,2020-03-27 07:30:00
1.2805427456999606e-09,2020-03-27 10:30:00
1.5116437144060252e-09,2020-03-27 13:30:00
1.3629532822785235e-09,2020-03-27 16:30:00
1.3233685754931383e-09,2020-03-27 19:30:00
1.2450742412171675e-09,2020-03-27 22:30:00
9.926658237853584e-10,2020-03-28 01:30:00
7.823249590127349e-10,2020-03-28 04:30:00
5.958177096650206e-10,2020-03-28 07:30:00
8.778444571822621e-10,2020-03-28 10:30:00
1.101824264251881e-09,2020-03-28 13:30:00
1.0976463919942945e-09,2020-03-28 16:30:00
1.0860275656741923e-09,2020-03-28 19:30:00
1.02670804976251e-09,2020-03-28 22:30:00
8.856257991406481e-10,2020-03-29 01:30:00
6.909022465852465e-10,2020-03-29 04:30:00
4.73870064717204e-10,2020-03-29 07:30:00
6.662565489131999e-10,2020-03-29 10:30:00
8.848835367582184e-10,2020-03-29 13:30:00
9.924108141155379e-10,2020-03-29 16:30:00
1.0209025791811358e-09,2020-03-29 19:30:00
9.684372807863389e-10,2020-03-29 22:30:00
8.658441142177609e-10,2020-03-30 01:30:00
7.310824339508669e-10,2020-03-30 04:30:00
6.394448548431221e-10,2020-03-30 07:30:00
1.1816074534165815e-09,2020-03-30 10:30:00
1.3694500003461933e-09,2020-03-30 13:30:00
1.2205216832014951e-09,2020-03-30 16:30:00
1.2287374225986207e-09,2020-03-30 19:30:00
1.175970838367792e-09,2020-03-30 22:30:00
9.532728458008489e-10,2020-03-31 01:30:00
7.720685160812112e-10,2020-03-31 04:30:00
6.566246739718978e-10,2020-03-31 07:30:00
1.1689457500238113e-09,2020-03-31 10:30:00
1.327441061184025e-09,2020-03-31 13:30:00
1.2211950381435781e-09,2020-03-31 16:30:00
1.2339862947182965e-09,2020-03-31 19:30:00
1.1668828093121258e-09,2020-03-31 22:30:00
9.613421603765486e-10,2020-04-01 01:30:00
7.905340513967917e-10,2020-04-01 04:30:00
6.47576415840597e-10,2020-04-01 07:30:00
1.1498856450213946e-09,2020-04-01 10:30:00
1.3250762626898888e-09,2020-04-01 13:30:00
1.220706015248261e-09,2020-04-01 16:30:00
1.2359489678632339e-09,2020-04-01 19:30:00
1.1785467837633297e-09,2020-04-01 22:30:00
9.768896912668763e-10,2020-04-02 01:30:00
8.101975650240577e-10,2020-04-02 04:30:00
6.839351208301793e-10,2020-04-02 07:30:00
1.1457271867476288e-09,2020-04-02 10:30:00
1.3059048627981356e-09,2020-04-02 13:30:00
1.2306227938499009e-09,2020-04-02 16:30:00
1.242073128035695e-09,2020-04-02 19:30:00
1.180998873909127e-09,2020-04-02 22:30:00
9.685898872401381e-10,2020-04-03 01:30:00
8.086129420284045e-10,2020-04-03 04:30:00
6.656755490484373e-10,2020-04-03 07:30:00
1.133527489943304e-09,2020-04-03 10:30:00
1.3264857744116888e-09,2020-04-03 13:30:00
1.208850943104399e-09,2020-04-03 16:30:00
1.2036368771983982e-09,2020-04-03 19:30:00
1.1493270787275049e-09,2020-04-03 22:30:00
9.537748201809522e-10,2020-04-04 01:30:00
7.51249360013649e-10,2020-04-04 04:30:00
5.644209403276099e-10,2020-04-04 07:30:00
8.272151965012668e-10,2020-04-04 10:30:00
1.0156944152865115e-09,2020-04-04 13:30:00
1.0329083669639372e-09,2020-04-04 16:30:00
1.0842157950667102e-09,2020-04-04 19:30:00
1.0335302016044826e-09,2020-04-04 22:30:00
8.862729716411134e-10,2020-04-05 01:30:00
6.689106963364292e-10,2020-04-05 04:30:00
4.679947373483021e-10,2020-04-05 07:30:00
6.626021575068667e-10,2020-04-05 10:30:00
8.818131520636279e-10,2020-04-05 13:30:00
9.70314653760978e-10,2020-04-05 16:30:00
1.0177641761266342e-09,2020-04-05 19:30:00
9.5687900637586e-10,2020-04-05 22:30:00
8.596030792616041e-10,2020-04-06 01:30:00
7.078314071141585e-10,2020-04-06 04:30:00
5.989436559506451e-10,2020-04-06 07:30:00
1.124172183058065e-09,2020-04-06 10:30:00
1.3544172659913107e-09,2020-04-06 13:30:00
1.2394197955941848e-09,2020-04-06 16:30:00
1.2644186953485153e-09,2020-04-06 19:30:00
1.2013346839007133e-09,2020-04-06 22:30:00
9.766045356075805e-10,2020-04-07 01:30:00
7.998272932651703e-10,2020-04-07 04:30:00
6.466567365207969e-10,2020-04-07 07:30:00
1.1648660575960464e-09,2020-04-07 10:30:00
1.3265513600534756e-09,2020-04-07 13:30:00
1.2318368751519053e-09,2020-04-07 16:30:00
1.2607968807857928e-09,2020-04-07 19:30:00
1.1908589976694321e-09,2020-04-07 22:30:00
9.73961874373557e-10,2020-04-08 01:30:00
7.984924510748726e-10,2020-04-08 04:30:00
6.478410416860513e-10,2020-04-08 07:30:00
1.1317540628574283e-09,2020-04-08 10:30:00
1.3197954096544072e-09,2020-04-08 13:30:00
1.2060935642986888e-09,2020-04-08 16:30:00
1.2459031565801268e-09,2020-04-08 19:30:00
1.2013057568448221e-09,2020-04-08 22:30:00
9.638131110815566e-10,2020-04-09 01:30:00
7.987671036917257e-10,2020-04-09 04:30:00
6.139883241932136e-10,2020-04-09 07:30:00
